bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
3.0,3.0,Longmont,USA,USD,1738742400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4c9e8e92c77ce8581220464662815372-p_e.jpg,True,True,False,False,False,False,False,False,,{},2213.0,,,,3600.0,300,3600.0,,2938,False,CO,(undisclosed Address),,6110882000,702200,80503,67149547
2.0,5.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/effaccb7b1124af12f0ae3e735cf721d-p_e.jpg,True,True,False,False,False,False,False,False,40.187603,{},2496.0,-105.08802,,,2700.0,,2700.0,,2804,False,CO,201 Pikes Peak Pl,537900.0,491497000,529100,80504,13204531
1.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7b05f309510298a0e76a33f2b178b1b7-p_e.jpg,True,True,False,False,False,False,False,False,40.169785,{},1498.0,-105.10733,,,2250.0,,2250.0,,2738,False,CO,623 Pratt St,537100.0,199705000,584100,80501,13206326
1.0,1.0,Longmont,USA,USD,,6,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/514db17f925acbb2feb43f42d9474e93-p_e.jpg,True,True,False,False,False,False,False,False,40.14221,{},500.0,-105.11156,,,1700.0,,1700.0,,1519,False,CO,1159 Lefthand Dr,554700.0,543081000,571000,80501,13208860
2.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5535323407033eaef5a063d6ec45b443-p_e.jpg,True,True,False,False,False,False,False,False,40.197365,{},896.0,-105.122215,,,1950.0,,1950.0,,2010,False,CO,2116 Hackberry Cir,424500.0,110471000,428900,80501,13231770
2.0,4.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a84fd6ae30c78f64fd950b25735984a4-p_e.jpg,True,True,False,False,False,False,False,False,40.20173,{},2100.0,-105.11237,,,2950.0,,2950.0,,2880,False,CO,2412 Dodd Ln,491800.0,988899000,516300,80501,13221342
3.0,4.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8fad8b3f108161f1ce4c05344a8464e6-p_e.jpg,True,True,False,False,False,False,False,False,40.146496,{},2730.0,-105.091194,,,3400.0,,3400.0,,3448,False,CO,1023 Deer Pond Ct,748300.0,129403000,695600,80501,241736437
2.0,3.0,Longmont,USA,USD,,6,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a2befab1f0b68bbe526fc7e20ec4fc28-p_e.jpg,True,True,False,False,False,False,False,False,40.172977,{},1100.0,-105.1073,,,2725.0,,2725.0,,2366,False,CO,801 Pratt St,642000.0,585977000,603500,80501,13205336
3.0,5.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5c770a7007c9655ade2c68cd76750dd1-p_e.jpg,True,True,False,False,False,False,False,False,40.198185,{},4081.0,-105.083405,,,3200.0,,3200.0,,3241,False,CO,2139 Redfield Cir,697800.0,802767000,697800,80504,54990319
4.0,5.0,Longmont,USA,USD,1738656000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9d00e4b5dfe6d19a9d5aeae3f5e25288-p_e.jpg,True,True,False,False,False,False,False,False,40.139282,{},3600.0,-105.16978,,,4950.0,-50,4950.0,$50 (Feb 4),4748,False,CO,1627 Hideaway Ct,1036400.0,1915202000,991000,80503,119231918
