bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
2.0,5.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/effaccb7b1124af12f0ae3e735cf721d-p_e.jpg,True,True,False,False,False,False,False,False,40.187603,{},2496.0,-105.08802,,,2700.0,,2700.0,,2831,False,CO,201 Pikes Peak Pl,537900.0,99044000,525600,80504,13204531
1.0,1.0,Longmont,USA,USD,,1,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/514db17f925acbb2feb43f42d9474e93-p_e.jpg,True,True,False,False,False,False,False,False,40.14221,{},500.0,-105.11156,,,1700.0,,1700.0,,1524,False,CO,1159 Lefthand Dr,554700.0,150628000,566600,80501,13208860
2.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/50d483d930d0e6c08300636ea30cd166-p_e.jpg,True,True,False,False,False,False,False,False,40.1796,{},1474.0,-105.09379,,,2449.0,,2449.0,,2336,False,CO,14 12th Ave,436800.0,1570529000,447900,80501,13227026
1.0,2.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3492b28188bbe9a49ca09bd353d491cf-p_e.jpg,True,True,False,False,False,False,False,False,40.175556,{},1008.0,-105.08229,,,1650.0,,1650.0,,1804,False,CO,415 Highland Dr,444700.0,507345000,434000,80504,13216871
2.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6cbbc4b955bda57ecd018aaeab5fb167-p_e.jpg,True,True,False,False,False,False,False,False,40.15697,{},1812.0,-105.06109,,,2600.0,,2600.0,,2784,False,CO,311 Cattail Ct,537400.0,440338000,520400,80501,54990614
2.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/baa8fdcd198a005a740266998e274d78-p_e.jpg,True,True,False,False,False,False,False,False,40.201767,{},2100.0,-105.118805,,,2600.0,,2600.0,,2850,False,CO,1525 Peterson Pl,508800.0,410337000,501300,80501,13220894
1.0,4.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/28b3bfc5b8aa85ddd79b645903b8af8f-p_e.jpg,True,True,False,False,False,False,False,False,40.171825,{},1400.0,-105.10339,,,2595.0,,2595.0,,2415,False,CO,728 Coffman St,386400.0,2250765000,436200,80501,13207278
3.0,2.0,Longmont,USA,USD,1738310400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/63768b722bbd684b81c3557c79e469d3-p_e.jpg,True,True,False,False,False,False,False,False,40.143963,{},1305.0,-105.094444,sqft,2178.0,2545.0,-55,2545.0,$55 (Jan 31),2495,False,CO,1208 Hummingbird Cir,533700.0,1992732000,474600,80501,299288925
1.0,2.0,Longmont,USA,USD,1739001600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/304d2f4863c4660ca0ffdeeaafbfa6a9-p_e.jpg,True,True,False,False,False,False,False,False,40.18586,{},784.0,-105.09557,,,1875.0,-125,1875.0,$125 (Feb 8),,False,CO,111 Valentine Ln,,1867284000,369100,80501,434774652
1.0,2.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/eb9c1da87b5a230c6c1b7e61da75d910-p_e.jpg,False,True,False,False,False,False,False,False,40.184357,{},813.0,-105.09064,,,1725.0,,1725.0,,1706,False,CO,1452 Lamplighter Dr,,453861000,360800,80504,2080491525
3.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/73e046ef27580f34b283ca023d5df9dd-p_e.jpg,False,True,False,False,False,False,False,False,40.184566,{},1552.0,-105.07243,,,2700.0,,2700.0,,2714,False,CO,1018 Red Oak Dr,542500.0,507269000,551100,80504,13254474
3.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/39523ba7035105bf3284183bcc3f3ac4-p_e.jpg,False,True,False,False,False,False,False,False,40.15448,{},1561.0,-104.988815,,,2475.0,,2475.0,,2120,False,CO,10576 Butte Dr,464171.0,383237000,467900,80504,61465657
2.0,2.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b43ca6f8a01b940ce49df33e5bfc2afb-p_e.jpg,False,True,False,False,False,False,False,False,40.20223,{},1497.0,-105.11077,,,2500.0,,2500.0,,2336,False,CO,2425 Gay St,470900.0,327342000,461100,80501,13224775
3.0,4.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8582cbdf9a8ce08fdbbc5bbb10a3565f-p_e.jpg,False,True,False,False,False,False,False,False,40.181103,{},2432.0,-105.109276,,,2450.0,,2450.0,,2297,False,CO,1251 Bross St,448700.0,598363000,546400,80501,13202251
1.0,2.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fd9a903d72e1038999b6cfb5bf460107-p_e.jpg,False,True,False,False,False,False,False,False,40.171383,{},946.0,-105.12094,,,1850.0,,1850.0,,1820,False,CO,726 Sunset St,389000.0,527572000,418000,80501,13204361
2.0,5.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d190d87e3edbd84b83dde30c12a76141-p_e.jpg,False,True,False,False,False,False,False,False,40.173077,{},1402.0,-105.122765,,,2599.0,,2599.0,,2496,False,CO,840 Faith Ct,556700.0,3469342000,547000,80501,13204708
1.0,2.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4d8c77d71f7241ea05491ccda1004d0b-p_e.jpg,False,True,False,False,False,False,False,False,40.174713,{},1109.0,-105.105316,sqft,4822.0,2500.0,,2500.0,,2114,False,CO,915 Terry St,375600.0,882769000,460300,80501,13207209
1.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/66e7f40a07323d5e5ee9ee2e66ba4018-p_e.jpg,False,True,False,False,False,False,False,False,40.171238,{},1460.0,-105.118546,,,2650.0,,2650.0,,2132,False,CO,722 Vivian St,513600.0,1105906000,511100,80501,13201418
1.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b0eaa6ffa1ac4ccf4c06aed565d7d3f0-p_e.jpg,False,True,False,False,False,False,False,False,40.17873,{},960.0,-105.11549,,,2095.0,,2095.0,,2061,False,CO,1135 Sherman St,395400.0,438267000,396800,80501,13204947
2.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6ed8887d4d6f7eb17518835e26bc7af7-p_e.jpg,False,True,False,False,False,False,False,False,40.182564,{},,-105.111565,,,2195.0,,2195.0,,2182,False,CO,1335 Venice St,392000.0,776566000,432200,80501,13201776
