bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,videoCount,zestimate,zipcode,zpid
1.0,3.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4505593564942a780257b179ab005cbc-p_e.jpg,True,True,False,False,False,False,False,False,40.378155,{},1044.0,-105.10807,2400.0,,2400.0,,,False,CO,3416 14th St SW #402,,132882000,# 402,,,80537,447262708
1.0,3.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bfceb75800b798a9cacd1aaed8d6dc7b-p_e.jpg,True,True,False,False,False,False,False,False,40.41883,{},1182.0,-105.07539,2150.0,,2150.0,,1676,False,CO,2516 Spruce Dr,417500.0,1117934000,,,394700,80538,49922693
3.0,3.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7aeac7e23b1aed14631fa50021f03d6c-p_e.jpg,True,True,False,False,False,False,False,False,40.454712,{},2414.0,-105.08776,2800.0,,2800.0,,2955,False,CO,6391 Black Hills Ave,514900.0,835879000,,,544000,80538,332922705
2.0,3.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/27765d792e724efb70cc1bd6b6196bac-p_e.jpg,True,True,False,False,False,False,False,False,40.374542,{},1253.0,-105.08615,2495.0,,2495.0,,2250,False,CO,641 19th St SW,391400.0,1270421000,,,390100,80537,13891517
4.0,5.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e501be7715d13812252c0df12c09953a-p_e.jpg,True,True,False,False,False,False,False,False,40.421173,{},3051.0,-105.08771,2795.0,,2795.0,,2832,False,CO,2833 Logan Dr,570000.0,1270430000,,,584200,80538,13883798
1.0,2.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8afea9bb3c91a9f207c5366487cb7da7-p_e.jpg,True,True,False,False,False,False,False,False,40.396664,{},1280.0,-105.068344,2175.0,,2175.0,,2002,False,CO,631 E 5th St,441400.0,1882245000,,,420800,80537,13885604
1.0,3.0,Loveland,USA,USD,1738396800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0fb802ea9881ca85fa7ab2c3eccfdce7-p_e.jpg,True,True,False,False,False,False,False,False,40.388103,{},1050.0,-105.10715,1795.0,-100,1795.0,$100 (Feb 1),1836,False,CO,2105 Eagle Dr,,3492717000,,,358000,80537,2067255311
2.0,4.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/612b789c1f7e9dac7964c1c49fda37c6-p_e.jpg,True,True,False,False,False,False,False,False,40.430176,{},1700.0,-105.0745,2395.0,,2395.0,,2342,False,CO,3722 Red Oak Ct,390000.0,1857308000,,,443900,80538,13877854
1.0,2.0,Loveland,USA,USD,1738310400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9d8f2e45a629102f0a1a51278619d8ba-p_e.jpg,True,True,False,False,False,False,False,False,40.417072,{},900.0,-105.1121,1595.0,-130,1595.0,$130 (Jan 31),1691,False,CO,2528 Gilpin Ct,,5572629000,,,329400,80538,2117788974
2.0,3.0,Loveland,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cbf8dbb15a83808165f956edee36d1b5-p_e.jpg,True,True,False,False,False,False,False,False,40.382957,{},1172.0,-105.11111,2200.0,-200,2200.0,$200 (Feb 11),2208,False,CO,866 S Buckeye Dr,447200.0,3066078000,,,429500,80537,13890638
3.0,4.0,Loveland,USA,USD,1738742400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ff5a1e080799943a24bdc5ff84f7c122-p_e.jpg,True,True,False,False,False,False,False,False,40.40041,{},2456.0,-105.035034,2895.0,-100,2895.0,$100 (Feb 5),2981,False,CO,2840 Pictor St,597200.0,3182107000,,,568200,80537,121929558
3.0,4.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/06fae59879f3313ea82d3d86e3db23d4-p_e.jpg,True,True,False,False,False,False,False,False,40.370922,{},2190.0,-105.07423,2395.0,,2395.0,,2439,False,CO,2115 Derby Hill Dr,494400.0,3138784000,,,484100,80537,13891363
