bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
1.0,3.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4505593564942a780257b179ab005cbc-p_e.jpg,True,True,False,False,False,False,False,False,40.378155,{},1044.0,-105.10807,2400.0,,2400.0,,,False,CO,3416 14th St SW #402,,132048000,# 402,,80537,447262708
1.0,3.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bfceb75800b798a9cacd1aaed8d6dc7b-p_e.jpg,True,True,False,False,False,False,False,False,40.41883,{},1182.0,-105.07539,2150.0,,2150.0,,1676,False,CO,2516 Spruce Dr,417500.0,1117100000,,394700,80538,49922693
2.0,3.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/27765d792e724efb70cc1bd6b6196bac-p_e.jpg,True,True,False,False,False,False,False,False,40.374542,{},1253.0,-105.08615,2495.0,,2495.0,,2250,False,CO,641 19th St SW,391400.0,1269587000,,390100,80537,13891517
1.0,2.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8afea9bb3c91a9f207c5366487cb7da7-p_e.jpg,True,True,False,False,False,False,False,False,40.396664,{},1280.0,-105.068344,2175.0,,2175.0,,2002,False,CO,631 E 5th St,441400.0,1881411000,,420800,80537,13885604
1.0,3.0,Loveland,USA,USD,1738396800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0fb802ea9881ca85fa7ab2c3eccfdce7-p_e.jpg,True,True,False,False,False,False,False,False,40.388103,{},1050.0,-105.10715,1795.0,-100,1795.0,$100 (Feb 1),1836,False,CO,2105 Eagle Dr,,3491883000,,358000,80537,2067255311
2.0,4.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/612b789c1f7e9dac7964c1c49fda37c6-p_e.jpg,True,True,False,False,False,False,False,False,40.430176,{},1700.0,-105.0745,2395.0,,2395.0,,2342,False,CO,3722 Red Oak Ct,390000.0,1856474000,,443900,80538,13877854
1.0,2.0,Loveland,USA,USD,1738310400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9d8f2e45a629102f0a1a51278619d8ba-p_e.jpg,True,True,False,False,False,False,False,False,40.417072,{},900.0,-105.1121,1595.0,-130,1595.0,$130 (Jan 31),1691,False,CO,2528 Gilpin Ct,,5571795000,,329400,80538,2117788974
2.0,3.0,Loveland,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cbf8dbb15a83808165f956edee36d1b5-p_e.jpg,True,True,False,False,False,False,False,False,40.382957,{},1172.0,-105.11111,2200.0,-200,2200.0,$200 (Feb 11),2208,False,CO,866 S Buckeye Dr,447200.0,3065244000,,429500,80537,13890638
3.0,4.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/06fae59879f3313ea82d3d86e3db23d4-p_e.jpg,True,True,False,False,False,False,False,False,40.370922,{},2190.0,-105.07423,2395.0,,2395.0,,2439,False,CO,2115 Derby Hill Dr,494400.0,3137950000,,484100,80537,13891363
1.0,2.0,Loveland,USA,USD,1739088000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fdc437437dcb9d9483d75c67a8fe60af-p_e.jpg,True,True,False,False,False,False,False,False,40.4149,{},990.0,-105.05389,1795.0,-100,1795.0,$100 (Feb 9),,False,CO,2218 Bismarck Ct,,1723244000,,329400,80538,446707358
1.0,2.0,Loveland,USA,USD,,65,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/97cd059e442bed503a4a417df911541d-p_e.jpg,True,True,False,False,False,False,False,False,40.410133,{},900.0,-105.049545,1900.0,,1900.0,,1768,False,CO,1636 Cheyenne Ave,509600.0,5628651000,,611100,80538,13859553
2.0,4.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/15c217bd5af8d7f8f136f0f6ddbc3037-p_e.jpg,False,True,False,False,False,False,False,False,40.372105,{},1253.0,-105.09612,2450.0,,2450.0,,2496,False,CO,1327 22nd St SW,398700.0,1267407000,,408700,80537,13891875
1.0,3.0,Loveland,USA,USD,1738569600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/84171ae0372132cf1a334986c975b4ab-p_e.jpg,False,True,False,False,False,False,False,False,40.402596,{},1087.0,-105.09371,2400.0,-45,2400.0,$45 (Feb 3),2303,False,CO,1006 Hahn Ct,410100.0,7662631000,,419600,80537,13886375
2.0,4.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/016a0fde003e97fb83d0af7d337d8948-p_e.jpg,False,True,False,False,False,False,False,False,40.422794,{},1768.0,-105.06237,2600.0,,2600.0,,2361,False,CO,2927 White Oak Ct,487000.0,196665000,,498400,80538,13878355
2.0,3.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/04385970391cb1ae8b1388df8cb6868e-p_e.jpg,False,True,False,False,False,False,False,False,40.441963,{},1638.0,-105.08465,2250.0,,2250.0,,2225,False,CO,4874 Filbert Dr,474900.0,600827000,,464800,80538,13898637
2.0,3.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d460c1a42eb4c49f1725b7ba844b5d5c-p_e.jpg,False,True,False,False,False,False,False,False,40.44905,{},1536.0,-105.06048,2400.0,,2400.0,,2381,False,CO,5507 Janna Dr,482100.0,2015294000,,477900,80538,13898743
