bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,videoCount,zestimate,zipcode,zpid
2.0,3.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/301382e9adbfb8550dc085bf4d07c470-p_e.jpg,True,True,False,False,False,False,False,False,33.439854,{},1700.0,-111.77849,,,2395.0,,2395.0,,2061,False,AZ,1335 N 24th St,359800.0,73124000,,,436600,85213,7673660
3.0,4.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/885fe2451f3618700452c8639360fa4f-p_e.jpg,True,True,False,False,False,False,False,False,33.403896,{},2370.0,-111.634865,,,2475.0,,2475.0,,2178,False,AZ,2043 S Luther Ave,412100.0,429333000,,,457200,85208,60050713
2.0,3.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=33.37706756591797,-111.84703063964844&key=AIzaSyBWYJWCA8FNMQvSe_k3LKfDGJaEgdKwsco&signature=VdeG9dm3ne-ZP0i-CtVfRtkdGIc=",True,True,False,False,False,False,False,False,33.377068,{},1470.0,-111.84703,,,2150.0,,2150.0,,2074,False,AZ,604 W Kiva Ave,374200.0,36587000,,,432700,85210,8170162
2.0,4.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c7a4037b8606aa2afb3126a99aceffe5-p_e.jpg,True,True,False,False,False,False,False,False,33.40446,{},1456.0,-111.637375,,,1999.0,,1999.0,,2047,False,AZ,553 S 89th Way,84389.0,64549000,,,351200,85208,8072028
2.0,3.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/59dd84b608a290359dacf3c662a0be06-p_e.jpg,True,True,False,False,False,False,False,False,33.413258,{},1300.0,-111.593636,,,1795.0,,1795.0,,2126,False,AZ,11005 E Abilene Ave,320200.0,95278000,,,365000,85208,52841392
2.0,4.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e345b2fec164742010d18a374e91ac0b-p_e.jpg,True,True,False,False,False,False,False,False,33.347336,{},1832.0,-111.66301,,,2599.0,,2599.0,,2490,False,AZ,7931 E Quartet Ave,47600.0,150847000,,,559300,85212,351542535
3.0,3.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d8341f6c91069b8aa523ffb44e4daca8-p_e.jpg,True,True,False,False,False,False,False,False,33.47673,{},1702.0,-111.68645,,,2100.0,,2100.0,,2081,False,AZ,6639 E Virginia St,369600.0,331922000,,,427100,85215,50186999
2.0,3.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c9ccbcabcf68b8fc698ec88d4d20c1ad-p_e.jpg,True,True,False,False,False,False,False,False,33.485195,{},1595.0,-111.68441,,,2250.0,,2250.0,,2292,False,AZ,3853 N Saint Elias Cir,404300.0,409916000,,,490100,85215,7679395
3.0,3.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a30eacdd724e6e7697b25642ee6bf245-p_e.jpg,True,True,False,False,False,False,False,False,33.302757,{},2162.0,-111.68624,,,2450.0,,2450.0,,,False,AZ,10206 E Ursula Ave,,410197000,,,511700,85212,442427178
2.0,3.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/56618fdb835a9e6e2afc6fb96c2a4b71-p_e.jpg,True,True,False,False,False,False,False,False,33.46322,{},1410.0,-111.68531,,,3010.0,,3010.0,,2080,False,AZ,6731 E Norwood St,336700.0,37057000,,,405200,85215,7669887
