bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,videoCount,zestimate,zipcode,zpid
2.0,3.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/301382e9adbfb8550dc085bf4d07c470-p_e.jpg,True,True,False,False,False,False,False,False,33.439854,{},1700.0,-111.77849,,,2395.0,,2395.0,,2120,False,AZ,1335 N 24th St,359800.0,464748000,,,431000,85213,7673660
3.0,4.0,Mesa,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/885fe2451f3618700452c8639360fa4f-p_e.jpg,True,True,False,False,False,False,False,False,33.403896,{},2370.0,-111.634865,,,2300.0,-175,2300.0,$175 (Feb 11),2178,False,AZ,2043 S Luther Ave,412100.0,820957000,,,457200,85208,60050713
2.0,2.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/39b3643d36da278fea1306befcba955c-p_e.jpg,True,True,False,False,False,False,False,False,33.42185,{},1318.0,-111.69584,,,1649.0,,1649.0,,1796,False,AZ,6239 E Butte St,264100.0,24119000,,,310000,85205,7666892
2.0,4.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c5535c4185bfe383e0a06d1c141fd250-p_e.jpg,True,True,False,False,False,False,False,False,33.39807,{},1831.0,-111.75416,,,1850.0,,1850.0,,2346,False,AZ,939 S 35th Pl,352500.0,56525000,,,422800,85204,7648305
2.0,2.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2921603e52ee4a1b63f2bb05e1ef91be-p_e.jpg,True,True,False,False,False,False,False,False,33.423885,{},1250.0,-111.698105,,,1699.0,,1699.0,,1736,False,AZ,6146 E Cicero St,312200.0,143006000,,,332000,85205,7668335
2.0,3.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8166713619603bf773f8debe8eee9380-p_e.jpg,True,True,False,False,False,False,False,False,33.42451,{},1475.0,-111.86555,,,2349.0,,2349.0,,2218,False,AZ,1634 W 5th St,315700.0,63078000,,,355500,85201,7608748
3.0,3.0,Mesa,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/01f5e7a3fbd0649e7a9dafd38a8313b3-p_e.jpg,True,True,False,False,False,False,False,False,33.42458,{},1438.0,-111.74425,,,2230.0,-920,2230.0,$920 (Feb 12),2027,False,AZ,4019 E Contessa St,330600.0,203527000,,,392700,85205,7638368
3.0,4.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/533a9c00199c6f55de0748d500f04977-p_e.jpg,True,True,False,False,False,False,False,False,33.37726,{},2370.0,-111.65168,,,2685.0,,2685.0,,2443,False,AZ,8449 E Keats Ave,403200.0,213161000,,,445800,85209,60050821
3.0,3.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/106f97a9ef42a1d80a14d4eee16adb69-p_e.jpg,True,True,False,False,False,False,False,False,33.3896,{},1636.0,-111.71571,,,2495.0,,2495.0,,2104,False,AZ,5341 E Harmony Ave,364100.0,299348000,,,408800,85206,55259913
2.0,3.0,Mesa,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/365dfc104f38bafd0bb5a6bd793b68b8-p_e.jpg,True,True,False,False,False,False,False,False,33.42023,{},1400.0,-111.86553,,,2185.0,,2185.0,,2119,False,AZ,1653 W Belfast St,291500.0,298739000,,,345000,85201,7612435
