bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
3.0,5.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1754b08854400984473e3c7f1eeebc40-p_e.jpg,True,True,False,False,False,False,False,False,44.99034,{},2036.0,-93.2355,,,2500.0,,2500.0,,3084,False,MN,1082 11th Ave SE,274000.0,1421803000,,307400,55414,1921202
4.0,4.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e57df929a6f8a66e070d7623a3dcdae3-p_e.jpg,True,True,False,False,False,False,False,False,45.04738,{},2350.0,-93.29829,,,3199.0,,3199.0,,2990,False,MN,5053 Girard Ave N,428000.0,35791000,,401100,55430,303941928
2.0,4.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3ccd8f1b7bf99082140fbb2b3e49fd90-p_e.jpg,True,True,False,False,False,False,False,False,44.929016,{},1668.0,-93.32485,,,2950.0,,2950.0,,3144,False,MN,4041 Chowen Ave S,516000.0,129496000,,473100,55410,1760535
2.0,6.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/defdaa1f7ea34634f0dcdbc58377bbb0-p_e.jpg,True,True,False,False,False,False,False,False,44.9882,{},3710.0,-93.23421,,,3200.0,,3200.0,,3226,False,MN,1010 12th Ave SE,258000.0,2641466000,,282900,55414,1921231
1.0,2.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d00d372967a4b657d0005a191f1b6e29-p_e.jpg,True,True,False,False,False,False,False,False,44.95272,{},953.0,-93.28714,,,1750.0,,1750.0,,1410,False,MN,2732 Garfield Ave,339000.0,1002706000,,364700,55408,2010111
1.0,2.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/30acbe0be67155fb5712eb9adebf0d92-p_e.jpg,True,True,False,False,False,False,False,False,44.953136,{},975.0,-93.28698,,,1750.0,,1750.0,,1306,False,MN,2730 Garfield Ave,,1002076000,,224000,55408,2114016865
2.0,3.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/942d186018fcd5894b28ac846a70525e-p_e.jpg,True,True,False,False,False,False,False,False,44.92712,{},1942.0,-93.23872,,,2645.0,,2645.0,,2744,False,MN,2240 E 42nd St,,41339000,,413800,55407,2062631835
4.0,3.0,Minneapolis,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e6c9c05caee2f3a86e251bd4d3f56d0b-p_e.jpg,True,True,False,False,False,False,False,False,45.045887,{},1563.0,-93.29884,,,3006.0,206,3006.0,,3152,False,MN,5000 Humboldt Ln,401000.0,170829000,,387100,55430,82646741
1.0,3.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9659af057323f6f8e1a929d39a538ed7-p_e.jpg,True,True,False,False,False,False,False,False,44.90183,{},1294.0,-93.23325,,,1930.0,,1930.0,,2228,False,MN,5513 27th Ave S,297000.0,220780000,,311900,55417,1920185
2.0,5.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f6dfa0929230030a153b51825d74e2df-p_e.jpg,True,True,False,False,False,False,False,False,45.013958,{},1300.0,-93.31368,,,2250.0,,2250.0,,2340,False,MN,3223 Thomas Ave N,188000.0,1002056000,,230400,55412,1762372
