bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
3.0,5.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1754b08854400984473e3c7f1eeebc40-p_e.jpg,True,True,False,False,False,False,False,False,44.99034,{},2036.0,-93.2355,,,2500.0,,2500.0,,3084,False,MN,1082 11th Ave SE,274000.0,1421803000,,307400,55414,1921202
1.0,2.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d00d372967a4b657d0005a191f1b6e29-p_e.jpg,True,True,False,False,False,False,False,False,44.95272,{},953.0,-93.28714,,,1750.0,,1750.0,,1410,False,MN,2732 Garfield Ave,339000.0,1002706000,,364700,55408,2010111
1.0,2.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/30acbe0be67155fb5712eb9adebf0d92-p_e.jpg,True,True,False,False,False,False,False,False,44.953136,{},975.0,-93.28698,,,1750.0,,1750.0,,1306,False,MN,2730 Garfield Ave,,1002076000,,224000,55408,2114016865
2.0,3.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/942d186018fcd5894b28ac846a70525e-p_e.jpg,True,True,False,False,False,False,False,False,44.92712,{},1942.0,-93.23872,,,2645.0,,2645.0,,2744,False,MN,2240 E 42nd St,,41339000,,413800,55407,2062631835
1.0,3.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9659af057323f6f8e1a929d39a538ed7-p_e.jpg,True,True,False,False,False,False,False,False,44.90183,{},1294.0,-93.23325,,,1930.0,,1930.0,,2228,False,MN,5513 27th Ave S,297000.0,220780000,,311900,55417,1920185
2.0,5.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f6dfa0929230030a153b51825d74e2df-p_e.jpg,True,True,False,False,False,False,False,False,45.013958,{},1300.0,-93.31368,,,2250.0,,2250.0,,2340,False,MN,3223 Thomas Ave N,188000.0,1002056000,,230400,55412,1762372
2.0,5.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/194da27c81a746d72f12dd614ab5a993-p_e.jpg,True,True,False,False,False,False,False,False,44.99294,{},3245.0,-93.231674,,,2500.0,,2500.0,,2026,False,MN,1170 14th Ave SE,201000.0,1421677000,,278000,55414,1812947
1.0,4.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/151cf4a99f26d46d4855319ed4cc062c-p_e.jpg,True,True,False,False,False,False,False,False,45.028614,{},1500.0,-93.31007,,,2100.0,,2100.0,,2172,False,MN,4031 Queen Ave N,224000.0,1086138000,,224800,55412,1727262
1.0,3.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9a3b49fe97ad02110109f7ca8979c504-p_e.jpg,True,True,False,False,False,False,False,False,45.010242,{},1256.0,-93.30785,,,1650.0,,1650.0,,1964,False,MN,2918 Penn Ave N,188000.0,678235000,,183400,55411,1774124
1.0,4.0,Minneapolis,USA,USD,1738051200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d2fa1630f985c1b877e89701c508a01b-p_e.jpg,True,True,False,False,False,False,False,False,44.98232,{},2009.0,-93.24459,,,2000.0,-100,2000.0,$100 (Jan 28),2118,False,MN,810 University Ave SE,,4114543000,,306200,55414,2077225768
