bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
3.0,4.0,Parker,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f0a471e4c032c09177665b49151ebe17-p_e.jpg,True,True,False,False,False,False,False,False,39.554337,{},2770.0,-104.80688,4300.0,,4300.0,,3185,False,CO,15744 Breeze Oak Ct,564871.0,1405494000,606300,80134,249985324
3.0,4.0,Parker,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6dd46bafd3614eaf9256665bbf236318-p_e.jpg,True,True,False,False,False,False,False,False,39.5168,{},2507.0,-104.8211,3550.0,,3550.0,,3360,False,CO,10980 Big Stone Cir,802348.0,643536000,706500,80134,123455847
4.0,5.0,Parker,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c1ca13bd139e1b9065e429528b860223-p_e.jpg,True,True,False,False,False,False,False,False,39.526962,{},4914.0,-104.82464,3895.0,,3895.0,,3851,False,CO,14121 Sierra Ridge Cir,858383.0,24762000,802800,80134,119232306
3.0,4.0,Parker,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/aff6862555e9b1e8b1fb46ffc007375b-p_e.jpg,True,True,False,False,False,False,False,False,39.52944,{},2215.0,-104.84846,3150.0,,3150.0,,3169,False,CO,10268 Hadrian Ct,689107.0,129483000,647700,80134,55812429
3.0,4.0,Parker,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9f03a97911fb07e3b58973ed6b5d4b35-p_e.jpg,True,True,False,False,False,False,False,False,39.55575,{},1670.0,-104.78343,2710.0,,2710.0,,2649,False,CO,17739 Biscuit Root Dr,550105.0,40649000,492500,80134,13464202
3.0,3.0,Parker,USA,USD,1738224000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/10ed76990cfd22d0bf3ffcafd6a7f848-p_e.jpg,True,True,False,False,False,False,False,False,39.518463,{},3431.0,-104.82661,3995.0,-200,3995.0,$200 (Jan 30),3900,False,CO,14041 Touchstone St,758303.0,3916367000,707700,80134,119233010
3.0,5.0,Parker,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bc8f4e62329761524253eb9f360c776c-p_e.jpg,True,True,False,False,False,False,False,False,39.483917,{},2569.0,-104.78117,3310.0,,3310.0,,3271,False,CO,17900 Domingo Dr,664176.0,495550000,656700,80134,108398071
3.0,3.0,Parker,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5a14bd6a0a48bca9fbe81dc0988abd17-p_e.jpg,True,True,False,False,False,False,False,False,39.518738,{},3739.0,-104.73746,4000.0,5,4000.0,,3168,False,CO,21660 Longs Peak Ln,784035.0,775332000,747600,80138,13472034
3.0,3.0,Parker,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/087740496bb4ee5ea79ae2df20d6b84f-p_e.jpg,True,True,False,False,False,False,False,False,39.448532,{},2806.0,-104.7383,3745.0,,3745.0,,3184,False,CO,5931 Thunder Hill Rd,763345.0,2234743000,709700,80134,13480323
4.0,4.0,Parker,USA,USD,1738051200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a709a5250fe29c8ad00986c44573618e-p_e.jpg,True,True,False,False,False,False,False,False,39.51614,{},2411.0,-104.81485,3600.0,200,3600.0,,3428,False,CO,11066 Shining Star Cir,643469.0,3189191000,712500,80134,331684531
4.0,5.0,Parker,USA,USD,1739347200000,17,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e52fac0db1dc45db6787295db6614629-p_e.jpg,True,True,False,False,False,False,False,False,39.509506,{},3215.0,-104.79485,3810.0,-75,3810.0,$75 (Feb 12),3682,False,CO,11612 Maize Ct,742660.0,1543435000,728800,80134,55813269
4.0,4.0,Parker,USA,USD,1739260800000,23,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/60f9a35be0bc3a281520bfbfc9cc85d9-p_e.jpg,True,True,False,False,False,False,False,False,39.43702,{},2886.0,-104.76136,3405.0,5,3405.0,,3212,False,CO,6695 Fonder Dr,651338.0,2061908000,647300,80134,13481263
3.0,3.0,Parker,USA,USD,1738483200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d2fe0629ebf66bebf323c1ddd356fb93-p_e.jpg,True,True,False,False,False,False,False,False,39.49061,{},1569.0,-104.760765,2699.0,-201,2699.0,$201 (Feb 2),2764,False,CO,19624 E Hollow Creek Dr,537263.0,2270758000,516600,80134,13475591
3.0,4.0,Parker,USA,USD,,1,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f07385b704e88af92ffa87fa91df65ac-p_e.jpg,True,True,False,False,False,False,False,False,39.528793,{},1786.0,-104.786674,2950.0,,2950.0,,2915,False,CO,10527 Berthoud Way,588714.0,141425000,558900,80134,13467708
