bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
1.0,2.0,Phoenix,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8807b519013bad39b67bdae42d54e490-p_e.jpg,True,True,False,False,False,False,False,False,33.5582,{},852.0,-112.11724,1800.0,,1800.0,,1380,False,AZ,8240 N 27th Ave,223300.0,59191000,239700,85051,7750928
2.0,3.0,Phoenix,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2b206d897e86f57d65272e9a94752fac-p_e.jpg,True,True,False,False,False,False,False,False,33.651318,{},1301.0,-112.087494,2000.0,-100,2000.0,$100 (Feb 12),1970,False,AZ,18205 N 11th Dr,314200.0,172651000,388700,85023,7957059
2.0,3.0,Phoenix,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bbd7c9dc8ee4be0676c937bf9fd226fb-p_e.jpg,True,True,False,False,False,False,False,False,33.502563,{},1452.0,-112.07734,2495.0,-100,2495.0,$100 (Feb 12),2474,False,AZ,4511 N Valerie Pl,426200.0,480189000,452100,85013,7770088
2.0,3.0,Phoenix,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1e1460b522cbd350ef973dd79fdee118-p_e.jpg,True,True,False,False,False,False,False,False,33.534267,{},1578.0,-112.13098,2395.0,,2395.0,,1878,False,AZ,3324 W Krall St,294000.0,9750160000,337300,85017,7760679
2.0,2.0,Phoenix,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/22ff02ecae99658f84c90e3608081aba-p_e.jpg,True,True,False,False,False,False,False,False,33.501,{},1029.0,-112.09365,2200.0,-100,2200.0,$100 (Feb 12),2022,False,AZ,1601 W Roma Ave,324100.0,2722427000,353900,85015,7771895
2.0,3.0,Phoenix,USA,USD,1738310400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8a4fddb2fe9f52e7ff0f8c0ab57e9e52-p_e.jpg,True,True,False,False,False,False,False,False,33.59705,{},1334.0,-112.107574,1999.0,-51,1999.0,$51 (Jan 31),1722,False,AZ,2247 W Wethersfield Rd,294100.0,1332973000,328600,85029,7738663
2.0,4.0,Glendale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a9d94193d0f71275f5aeb0826a0980e0-p_e.jpg,True,True,False,False,False,False,False,False,33.511326,{},1750.0,-112.277725,2295.0,,2295.0,,1823,False,AZ,10127 W Orange Dr,303100.0,27382000,360800,85307,67081681
3.0,2.0,Phoenix,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/61b1ccab1e8f6110c4941c47719a36a9-p_e.jpg,True,True,False,False,False,False,False,False,33.723434,{},1307.0,-112.17478,1950.0,,1950.0,,1874,False,AZ,5329 W Marcus Dr,328300.0,56901000,,85083,81988299
2.0,2.0,Phoenix,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0fc165d58d2fb54345ac52b9ef6afc8d-p_e.jpg,True,True,False,False,False,False,False,False,33.525467,{},1837.0,-112.059395,2495.0,,2495.0,,2682,False,AZ,6050 N Calle Mio,477600.0,57288000,516100,85014,7797869
1.0,2.0,Phoenix,USA,USD,1737878400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0c6023ed36ac1c7ddb465ad25dca4c11-p_e.jpg,True,True,False,False,False,False,False,False,33.498703,{},1600.0,-112.07897,2395.0,-100,2395.0,$100 (Jan 26),2102,False,AZ,318 W Glenrosa Ave,382600.0,1589697000,,85013,7770416
2.0,3.0,Phoenix,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/072391a75b8f721d91c7a815d0991387-p_e.jpg,True,True,False,False,False,False,False,False,33.674088,{},1250.0,-112.06527,2600.0,,2600.0,,2234,False,AZ,20802 N 7th Pl,375300.0,113359000,444200,85024,7991038
3.0,3.0,Phoenix,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/20005565a94c98458924bbbd91ac076e-p_e.jpg,True,True,False,False,False,False,False,False,33.720127,{},1928.0,-112.106476,2600.0,,2600.0,,2723,False,AZ,25776 N 20th Ln,481700.0,114159000,566400,85085,284865931
3.0,3.0,Phoenix,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0590131aeac43f9ecc6da2ddf04c8979-p_e.jpg,True,True,False,False,False,False,False,False,33.29505,{},1755.0,-112.036934,2450.0,,2450.0,,2376,False,AZ,2127 E Nighthawk Way,400300.0,117611000,457100,85048,8257297
