bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,videoCount,zestimate,zipcode,zpid
2.0,3.0,Scottsdale,USA,USD,1739174400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bce6970f5434a3e7c749ee9942e827aa-p_e.jpg,True,True,False,False,False,False,False,False,33.516125,{},1400.0,-111.89907,3800.0,-200,3800.0,$200 (Feb 10),3147,False,AZ,8426 E Sage Dr,535000.0,488834000,,608500,85250,7849735
2.0,3.0,Scottsdale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/eb9fefa6c96a12f41bd98b5036874934-p_e.jpg,True,True,False,False,False,False,False,False,33.67381,{},1634.0,-111.91274,5500.0,,5500.0,,4124,False,AZ,7789 E Journey Ln,709600.0,300515000,,755300,85255,50182295
3.0,3.0,Scottsdale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9ad2ec3f50426d1a8f84169581cbd084-p_e.jpg,True,True,False,False,False,False,False,False,33.589104,{},2446.0,-111.92773,6000.0,,6000.0,,4831,False,AZ,7101 E Cholla St,1075100.0,1790450000,,,85254,7864799
3.0,5.0,Scottsdale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a53060f6fa26baef15f53b3f21c3139e-p_e.jpg,True,True,False,False,False,False,False,False,33.61527,{},3393.0,-111.94194,7900.0,,7900.0,,6129,False,AZ,6428 E Hearn Rd,1106200.0,648551000,,1511000,85254,8025852
2.0,3.0,Scottsdale,USA,USD,1739260800000,11,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/92bf1a30601891a68006ef23c2bc5fa5-p_e.jpg,True,True,False,False,False,False,False,False,33.553143,{},2013.0,-111.91116,9500.0,-1000,9500.0,"$1,000 (Feb 11)",3773,False,AZ,7874 E Via Marina,666300.0,1006728000,,842900,85258,7859224
2.0,3.0,Scottsdale,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ddc7b9f1f3e4fd3ccdb3dc7a29390d1f-p_e.jpg,True,True,False,False,False,False,False,False,33.488937,{},1640.0,-111.91684,3275.0,-225,3275.0,$225 (Feb 11),2866,False,AZ,3520 N Carhill Ave,537800.0,626024000,,641200,85251,7574527
2.0,4.0,Scottsdale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f8a4765e64d221d0fa060b9e13111aeb-p_e.jpg,True,True,False,False,False,False,False,False,33.64314,{},2102.0,-111.95763,7499.0,,7499.0,,3914,False,AZ,5655 E Anderson Dr,646000.0,1769907000,,878100,85254,8015854
3.0,3.0,Scottsdale,USA,USD,1739260800000,10,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1fa9036d89e63756c0dea7d83bc86455-p_e.jpg,True,True,False,False,False,False,False,False,33.49825,{},2268.0,-111.931015,5750.0,-150,5750.0,$150 (Feb 11),5325,False,AZ,6953 E Lafayette Blvd,827500.0,898135000,1,1281000,85251,7845969
3.0,4.0,Scottsdale,USA,USD,1739433600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7677959a0dfff516d8462f3d24126245-p_e.jpg,True,True,False,False,False,False,False,False,33.636642,{},2366.0,-111.947525,4725.0,-25,4725.0,$25 (Feb 13),3626,False,AZ,6138 E Kings Ave,744700.0,1341082000,,1065900,85254,8030953
4.0,5.0,Scottsdale,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2d92b6650b1818547b7bb276fd0bb9cf-p_e.jpg,True,True,False,False,False,False,False,False,33.588245,{},3628.0,-111.800446,8895.0,1000,8895.0,,6010,False,AZ,13010 E Shangri La Rd,921200.0,2009294000,,1203000,85259,8046078
