bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
2.0,4.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5284d85176cd5a7d0ea18b19bf47c487-p_e.jpg,True,True,False,False,False,False,False,False,44.933136,{},1804.0,-93.1799,,,3500.0,,3500.0,,2552,False,MN,1876 Berkeley Ave,373400.0,1102905000,381000,55105,2062185
2.0,4.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/50f663591f3aeb51bf0808499ac31749-p_e.jpg,True,True,False,False,False,False,False,False,44.93975,{},1500.0,-93.16327,,,2750.0,,2750.0,,2328,False,MN,1492 W Grand Ave,,198336000,347800,55105,343899873
1.0,3.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1c3f88e74d6dbde98cef1696be3dba7a-p_e.jpg,True,True,False,False,False,False,False,False,44.940422,{},1329.0,-93.18464,,,2875.0,,2875.0,,2322,False,MN,1995 Grand Ave,417100.0,241184000,389700,55105,2046006
3.0,3.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/09d28913879a775f1cf4ff62eb69deef-p_e.jpg,True,True,False,False,False,False,False,False,44.965626,{},1500.0,-93.02612,,,1895.0,,1895.0,,2110,False,MN,1762 Ross Ave,218600.0,514674000,240600,55106,2131561
3.0,5.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d0fb2db96af558050ba9497f60c9464f-p_e.jpg,True,True,False,False,False,False,False,False,44.950954,{},1900.0,-93.14259,sqft,7405.200000000001,2500.0,,2500.0,,,False,MN,1002 Rondo Ave,,2557129000,329700,55104,444157119
1.0,3.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e2006b6c1558887dda3e11bc7fd0f8ac-p_e.jpg,True,True,False,False,False,False,False,False,44.987724,{},1536.0,-93.04092,sqft,6011.280000000001,1695.0,,1695.0,,1825,False,MN,1539 Birmingham St,332800.0,1174555000,331900,55106,2108188
2.0,4.0,Saint Paul,USA,USD,1739347200000,21,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e845ca59e304225070b4b62ed482c883-p_e.jpg,True,True,False,False,False,False,False,False,44.95384,{},1696.0,-93.059105,,,2379.0,-20,2379.0,$20 (Feb 12),2341,False,MN,980 Wilson Ave,294500.0,1869319000,295100,55106,2149086
1.0,4.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/514d8d0370edadb0b31fa77c0f198005-p_e.jpg,True,True,False,False,False,False,False,False,44.96959,{},1736.0,-93.07065,,,1906.0,,1906.0,,1970,False,MN,705 Sims Ave,217700.0,1638994000,216100,55106,2138201
2.0,4.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4f89e4aa932af11f8f9f62e87f02a022-p_e.jpg,True,True,False,False,False,False,False,False,44.968975,{},1626.0,-93.03089,,,1995.0,,1995.0,,2068,False,MN,1649 York Ave,257800.0,2413926000,258800,55106,2131250
2.0,3.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/012b9ef101c57fc2faab4e47a0ac85c9-p_e.jpg,True,True,False,False,False,False,False,False,44.93819,{},1176.0,-93.00912,,,2169.0,,2169.0,,2118,False,MN,2155 Edgebrook Ave,302700.0,1681734000,294600,55119,2034391
2.0,4.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/67e52c2157b16a3d439dde8ac7992c35-p_e.jpg,True,True,False,False,False,False,False,False,44.940277,{},1200.0,-93.137314,,,2495.0,,2495.0,,2427,False,MN,881 Grand Ave,304000.0,748273000,273800,55105,112113071
2.0,3.0,Saint Paul,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6f7ad96dce31e0f3ccf3e225d6b44f58-p_e.jpg,True,True,False,False,False,False,False,False,44.91862,{},1900.0,-93.18404,sqft,6098.400000000001,2700.0,-500,2700.0,$500 (Feb 12),2069,False,MN,1986 Pinehurst Ave,371100.0,1419375000,375900,55116,2090308
1.0,3.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b2efdb06da4869c6fcdea1c7c9dbd45e-p_e.jpg,True,True,False,False,False,False,False,False,44.93733,{},1500.0,-93.11909,,,1895.0,,1895.0,,1923,False,MN,449 Banfil St,198400.0,2518266000,240800,55102,2029249
2.0,2.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3a19e339220da55bb01d395465ef597a-p_e.jpg,True,True,False,False,False,False,False,False,44.954697,{},1320.0,-93.0585,,,1875.0,,1875.0,,1649,False,MN,998 Euclid St,230400.0,3125283000,241000,55106,2149053
2.0,3.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4bc75e8ceb67e0e116e9e2d7b64fd4f7-p_e.jpg,True,True,False,False,False,False,False,False,44.92777,{},1296.0,-93.08323,,,1995.0,,1995.0,,2029,False,MN,42 King St E,205800.0,2965927000,208200,55107,2057336
1.0,2.0,Saint Paul,USA,USD,1737532800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/50e0a9c9f558a81531c1834177c045f9-p_e.jpg,True,True,False,False,False,False,False,False,44.96094,{},1123.0,-93.00531,,,1675.0,-40,1675.0,$40 (Jan 22),1741,False,MN,2200 Margaret St,218400.0,1937064000,233800,55119,64823928
2.0,4.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d3b63b6a4262ec6c6e86287db619d3b7-p_e.jpg,True,True,False,False,False,False,False,False,44.93733,{},1895.0,-93.118965,,,2595.0,,2595.0,,2583,False,MN,447 Banfil St,214000.0,7889153000,230200,55102,2029250
1.0,3.0,Saint Paul,USA,USD,1737964800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1d658a3b4cfe63d5e1d208d79cfb4420-p_e.jpg,True,True,False,False,False,False,False,False,44.956333,{},1124.0,-93.17093,,,1845.0,-50,1845.0,$50 (Jan 27),1905,False,MN,1670 Sherburne Ave,307700.0,1356778000,276200,55104,2150471
2.0,4.0,Saint Paul,USA,USD,1736150400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bf99003d843a918cb03e8d67250b315e-p_e.jpg,True,True,False,False,False,False,False,False,44.96336,{},2300.0,-93.02733,sqft,4007.52,2150.0,-100,2150.0,$100 (Jan 6),2184,False,MN,1729 Minnehaha Ave E,253700.0,6790553000,266100,55106,2131616
2.0,4.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/056703c2d0a445b772617b733d557139-p_e.jpg,True,True,False,False,False,False,False,False,44.947166,{},1800.0,-93.12933,sqft,4356.0,2395.0,,2395.0,,2471,False,MN,690 Dayton Ave,407500.0,2686848000,387000,55104,2034581
1.0,3.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0f8e7c9f2e2a526c139db9d9f262afa3-p_e.jpg,True,True,False,False,False,False,False,False,44.965282,{},1110.0,-93.00685,,,2000.0,,2000.0,,1889,False,MN,793 Lake St,213500.0,2906684000,232800,55119,2126795
2.0,3.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/806a13cf6be2543d9abc62def9baef84-p_e.jpg,True,True,False,False,False,False,False,False,44.98149,{},1400.0,-93.02489,,,1700.0,,1700.0,,1749,False,MN,1330 White Bear Ave N,349900.0,4775220000,321800,55106,185068243
2.0,5.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/89900784ed2bf043f4672076af50150e-p_e.jpg,False,True,False,False,False,False,False,False,44.948032,{},2298.0,-93.17955,,,3000.0,,3000.0,,3540,False,MN,1872 Marshall Ave,360700.0,1420849000,380900,55104,2045386
2.0,4.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d43d8f7b81c72b4c518c7d3f3dc9c8de-p_e.jpg,False,True,False,False,False,False,False,False,44.968002,{},2016.0,-93.15932,,,2450.0,,2450.0,,2239,False,MN,1395 Taylor Ave W,,228289000,320900,55104,2068900695
2.0,5.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3a04472bfff87eae5e8e7eed500f0836-p_e.jpg,False,True,False,False,False,False,False,False,44.96988,{},2113.0,-93.094505,,,2890.0,,2890.0,,2811,False,MN,150 Case Ave,351000.0,1949135000,233700,55117,2141290
3.0,4.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c2ed0d34911da1622c51d582924dc10e-p_e.jpg,False,True,False,False,False,False,False,False,44.9398,{},1962.0,-93.10656,,,4800.0,,4800.0,,4202,False,MN,55 Wilkin St,309100.0,234580000,340300,55102,2029398
1.0,2.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/28afcb3b55fa39dbe731b3d0ab81b91a-p_e.jpg,False,True,False,False,False,False,False,False,,{},1500.0,,,,2000.0,,2000.0,,1994,False,MN,(undisclosed Address),,3468135000,287700,55103,2162592
2.0,7.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d099c688d2ec84482da7adddc1a326c6-p_e.jpg,False,True,False,False,False,False,False,False,44.95048,{},3800.0,-93.18176,,,3990.0,,3990.0,,,False,MN,1928 W Carroll Ave,,566666000,488900,55104,446963317
2.0,4.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/187cdc35ae8ed799b426d2ebb5850bbc-p_e.jpg,False,True,False,False,False,False,False,False,44.96721,{},,-93.16731,,,2100.0,,2100.0,,2228,False,MN,867 Snelling Ave N,,743447000,295900,55104,2089703711
1.0,4.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/28414a55c2f493c2ab0f3090e0c1f332-p_e.jpg,False,True,False,False,False,False,False,False,44.965908,{},1891.0,-93.17178,,,1800.0,,1800.0,,1945,False,MN,824 Aldine St,360500.0,1422424000,357100,55104,2135885
2.0,7.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a2c3e3193658a556aebc2f86ce9e44cd-p_e.jpg,False,True,False,False,False,False,False,False,44.948097,{},3891.0,-93.1704,,,3300.0,,3300.0,,3695,False,MN,1660 Marshall Ave,401100.0,1422895000,426200,55104,2044850
2.0,6.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/dd6ce9557e2c3a6d0fc681f1fdd65a0f-p_e.jpg,False,True,False,False,False,False,False,False,44.92769,{},2190.0,-93.17772,,,3100.0,,3100.0,,3499,False,MN,1830 James Ave,447400.0,5657367000,397800,55105,2062854
3.0,8.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8bcdffd504d19ec161a29bf149647fba-p_e.jpg,False,True,False,False,False,False,False,False,44.9661,{},3871.0,-93.168015,,,3300.0,,3300.0,,3468,False,MN,1596 Hewitt Ave,448500.0,1423018000,453100,55104,2135852
2.0,3.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/142217ac3ffab2488540a7fc3f5c4610-p_e.jpg,False,True,False,False,False,False,False,False,44.96803,{},800.0,-93.03422,,,2000.0,,2000.0,,1860,False,MN,1569 Stillwater Ave,245400.0,2301980000,211900,55106,2131311
2.0,4.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d2bd4f6e08cd31df821dfbeec776f918-p_e.jpg,False,True,False,False,False,False,False,False,44.9672,{},2113.0,-93.167496,,,2000.0,,2000.0,,2524,False,MN,865 Snelling Ave N,352100.0,6247081000,354500,55104,2135638
3.0,5.0,Saint Paul,USA,USD,,72,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9de98077ff5a1bd87b3cbf1d1faf70e5-p_e.jpg,False,True,False,False,False,False,False,False,44.950928,{},3201.0,-93.16872,,,2850.0,,2850.0,,3703,False,MN,1620 Concordia Ave,313900.0,6247123000,401300,55104,2151022
2.0,4.0,Saint Paul,USA,USD,1736928000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/180d2f1ad0bbb43b171c227b052759c1-p_e.jpg,False,True,False,False,False,False,False,False,44.963154,{},1821.0,-93.160446,,,2000.0,-100,2000.0,$100 (Jan 15),2296,False,MN,730 Holton St,364600.0,5657425000,358300,55104,2132218
2.0,3.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8fd4c40f238382d478a7de3adcf86aa3-p_e.jpg,False,True,False,False,False,False,False,False,44.971558,{},1330.0,-93.14459,,,1900.0,,1900.0,,1886,False,MN,1053 Hatch Ave,204100.0,6005313000,227700,55103,2127696
1.0,2.0,Saint Paul,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a0507ad159f50d001977328611800e2c-p_e.jpg,False,True,False,False,False,False,False,False,44.984074,{},1000.0,-93.02248,,,2100.0,,2100.0,,1571,False,MN,1841 Sherwood Ave,231200.0,1606706000,213200,55119,2113621
