bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,videoCount,zestimate,zipcode,zpid
4.0,7.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/31536d897506a51bbfbdbbdcaaa6c437-p_e.jpg,True,True,False,False,False,False,False,False,33.40225,{},2288.0,-111.92138,7200.0,,7200.0,,5410,False,AZ,1122 E Loma Vista Dr,467800.0,157601000,,,575100,85282,7596543
2.0,4.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4c50e93416da0f3a71b12b5a2c98e645-p_e.jpg,True,True,False,False,False,False,False,False,33.403973,{},1874.0,-111.91904,2745.0,,2745.0,,2640,False,AZ,1215 E Broadmor Dr,388500.0,164002000,,,492100,85282,7596661
3.0,6.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4ba8863a33f3616f482c535284d55250-p_e.jpg,True,True,False,False,False,False,False,False,33.405186,{},1989.0,-111.90772,6600.0,,6600.0,,3092,False,AZ,1818 E Palmcroft Dr,460600.0,979010000,,,554500,85282,7594930
3.0,5.0,Tempe,USA,USD,1739174400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6a378858bbb671dd6cc13266ac02cf12-p_e.jpg,True,True,False,False,False,False,False,False,33.387043,{},2250.0,-111.92276,4700.0,-250,4700.0,$250 (Feb 10),3854,False,AZ,1033 E Hermosa Dr,438800.0,1107315000,,,571400,85282,7596353
2.0,3.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/06a5f02d0a92d08fceb4b2aad3e736aa-p_e.jpg,True,True,False,False,False,False,False,False,33.41945,{},1148.0,-111.88662,1745.0,,1745.0,,2071,False,AZ,920 S Lebanon Ln,294000.0,141240000,,,375300,85281,7610003
2.0,5.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b5a4fc5cd1ab7d7af29b9bd6b04fd09b-p_e.jpg,True,True,False,False,False,False,False,False,33.380604,{},2176.0,-111.91458,5200.0,,5200.0,,4043,False,AZ,1420 E Ellis Dr,489000.0,831455000,,,564900,85282,7593774
3.0,5.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/647b85b01869f90e89e38f17c03f6481-p_e.jpg,True,True,False,False,False,False,False,False,33.340004,{},2983.0,-111.9393,3950.0,,3950.0,,3671,False,AZ,150 W Calle De Caballos,612600.0,231827000,,,794000,85284,8147938
2.0,3.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a0933ce0999576a1bae080797716bb7b-p_e.jpg,True,True,False,False,False,False,False,False,33.39076,{},1556.0,-111.9028,3000.0,,3000.0,,3037,False,AZ,1948 E Pebble Beach Dr,417100.0,844786000,,,517600,85282,7591891
3.0,5.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e33acd9a9bc1947d9cd0c1db62236d97-p_e.jpg,True,True,False,False,False,False,False,False,33.327816,{},4215.0,-111.90218,9900.0,,9900.0,,4067,False,AZ,2001 E Myrna Ln,1247700.0,772977000,,,1663100,85284,8154184
2.0,5.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bce97c1fcf3c3f4c9085b3b89f28831d-p_e.jpg,True,True,False,False,False,False,False,False,33.37188,{},2318.0,-111.906525,3995.0,,3995.0,,2720,False,AZ,1858 E Yale Dr,501500.0,825212000,,,570600,85283,8168747
2.0,4.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/458287a3463130a550758cb046643709-p_e.jpg,True,True,False,False,False,False,False,False,33.41603,{},1568.0,-111.91266,2900.0,,2900.0,,2249,False,AZ,1127 S Una Ave,400500.0,2294575000,,,478000,85281,7585287
