bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,videoCount,zestimate,zipcode,zpid
2.0,3.0,Thornton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/92183acf5d669f3be335e918b93a7418-p_e.jpg,True,True,False,False,False,False,False,False,39.935284,{},2764.0,-104.89764,3250.0,,3250.0,,2670,False,CO,7732 E 131st Pl,604000.0,96290000,,578600,80602,82585431
4.0,3.0,Thornton,USA,USD,,1,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b571d110bdbc0bbfe25732845ad707ca-p_e.jpg,True,True,False,False,False,False,False,False,39.931507,{},2417.0,-104.94137,4295.0,,4295.0,,2827,False,CO,3846 Dyanna Dr,576000.0,152740000,1,533500,80241,12952784
3.0,4.0,Thornton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fee64dbbf97ff38644de5e835bdbb3d6-p_e.jpg,True,True,False,False,False,False,False,False,39.949028,{},2831.0,-104.91977,3250.0,,3250.0,,3272,False,CO,13909 Jersey St,670000.0,641745000,,610700,80602,58652871
3.0,3.0,Thornton,USA,USD,1738656000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e341d823ba494c5792a760ea5d704630-p_e.jpg,True,True,False,False,False,False,False,False,39.880547,{},1466.0,-105.01528,2800.0,-200,2800.0,$200 (Feb 4),2662,False,CO,10115 Wyandott Cir N,497000.0,1661080000,,471800,80260,12975251
3.0,3.0,Thornton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/df49f1920f657780cca1d5b3487357ab-p_e.jpg,True,True,False,False,False,False,False,False,39.949116,{},1406.0,-104.94562,2775.0,,2775.0,,2458,False,CO,3542 E 139th Pl,500000.0,152761000,,463400,80602,58290650
2.0,2.0,Thornton,USA,USD,,51,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d418da139e8394950a84ffc2310066a7-p_e.jpg,True,True,False,False,False,False,False,False,39.868763,{},886.0,-104.99541,2100.0,,2100.0,,2017,False,CO,624 Switzer Ln,331000.0,4453082000,,299300,80260,12983003
3.0,3.0,Thornton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/98e6b6af1013edb4e308650d0cc353d9-p_e.jpg,True,True,False,False,False,False,False,False,39.91814,{},2041.0,-104.92401,3010.0,,3010.0,,2860,False,CO,12274 Glencoe St,566000.0,170210000,,524800,80241,12948749
4.0,4.0,Brighton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/df55b82d99e0ae2847136fd18afa25d7-p_e.jpg,True,True,False,False,False,False,False,False,39.918156,{},3089.0,-104.91267,3235.0,,3235.0,,2968,False,CO,12220 Locust St,595000.0,182211000,,550300,80602,12949453
2.0,3.0,Thornton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0fbbc8e3c2923366f459defd7637e29d-p_e.jpg,True,True,False,False,False,False,False,False,39.917572,{},1843.0,-104.922806,2795.0,,2795.0,,2729,False,CO,12207 Hudson Ct,504000.0,437253000,,497300,80241,12948796
2.0,4.0,Thornton,USA,USD,1738569600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9e6219f3539ce2b87625969060755cc6-p_e.jpg,True,True,False,False,False,False,False,False,39.87536,{},1938.0,-104.95623,3020.0,75,3020.0,,2852,False,CO,2554 E 98th Way,479000.0,1204097000,,497500,80229,12972491
3.0,4.0,Thornton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/02cd13f25b13874e58407dafefb1fe94-p_e.jpg,True,True,False,False,False,False,False,False,39.932518,{},2698.0,-104.895355,3335.0,,3335.0,,3250,False,CO,13041 Tamarac St,669000.0,1388680000,,619000,80602,102998826
2.0,4.0,Brighton,USA,USD,1737619200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5520c3f552a7ff1ba9cbff92a407c3a0-p_e.jpg,True,True,False,False,False,False,False,False,39.914925,{},1764.0,-104.90855,2820.0,-160,2820.0,$160 (Jan 23),2694,False,CO,6821 E 120th Dr,499000.0,2515391000,,472700,80602,12949729
3.0,4.0,Thornton,USA,USD,1738310400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/476a98c7f3286def0197abde687e5f5a-p_e.jpg,True,True,False,False,False,False,False,False,39.944447,{},2358.0,-104.89712,3295.0,-95,3295.0,$95 (Jan 31),3150,False,CO,13652 Syracuse Way,638000.0,5643997000,,609100,80602,245118822
3.0,3.0,Thornton,USA,USD,1737014400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5343df464e473e7c04c0ec674d28cd53-p_e.jpg,True,True,False,False,False,False,False,False,39.889706,{},1736.0,-104.94317,2720.0,-40,2720.0,$40 (Jan 16),2725,False,CO,3605 E 106th Ave,521000.0,3566243000,,506500,80233,12971526
3.0,5.0,Thornton,USA,USD,,46,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3b7d6220abf9caaaa4d9a103ae1cea84-p_e.jpg,True,True,False,False,False,False,False,False,39.93294,{},3200.0,-104.89646,3600.0,,3600.0,,3438,False,CO,13035 Tamarac Pl,658000.0,4042817000,,633800,80602,97885129
3.0,3.0,Thornton,USA,USD,1738828800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/69ef5757203aa0a5519977000f9763e5-p_e.jpg,True,True,False,False,False,False,False,False,39.92605,{},2080.0,-104.9292,3180.0,-35,3180.0,$35 (Feb 6),3043,False,CO,12726 Eudora Dr,558000.0,4692497000,,521500,80241,12947453
4.0,4.0,Thornton,USA,USD,1738569600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3bbf236675a3ef8bafb2baf96500456d-p_e.jpg,True,True,False,False,False,False,False,False,39.903057,{},1799.0,-104.92157,2900.0,-15,2900.0,$15 (Feb 3),2895,False,CO,11311 Jersey Cir,566000.0,5903176000,,555700,80233,61507740
2.0,4.0,Thornton,USA,USD,1738742400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/706290017e40c2d31ecf74f24f7036a9-p_e.jpg,True,True,False,False,False,False,False,False,39.986885,{},2500.0,-104.938934,2745.0,-54,2745.0,$54 (Feb 5),3020,False,CO,4105 E 160th Ave,592000.0,24053000,,594900,80602,12944472
3.0,3.0,Thornton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/083ace4048625634acb0a096ccc4543c-p_e.jpg,False,True,False,False,False,False,False,False,39.906807,{},2256.0,-104.95495,3500.0,,3500.0,,2828,False,CO,11691 Elizabeth Pl,546000.0,67667000,,541600,80233,12959390
3.0,3.0,Thornton,USA,USD,1739001600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/831aff60be4e05f0d5e2caa5843bb90a-p_e.jpg,False,True,False,False,False,False,False,False,39.948364,{},1406.0,-104.94605,3200.0,-200,3200.0,$200 (Feb 8),2504,False,CO,13890 Madison St,514000.0,185650000,,506000,80602,58290656
3.0,3.0,Thornton,USA,USD,1738915200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8dfb14d20728979a2b53ff49e11e37c0-p_e.jpg,True,True,False,False,False,False,False,False,39.92714,{},2000.0,-104.95679,3895.0,200,3895.0,,2882,False,CO,2504 E 127th Pl,506000.0,9217025000,,494200,80241,58650791
2.0,3.0,Thornton,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1110adda354882adaa9ac9261d82c1b0-p_e.jpg,False,True,False,False,False,False,False,False,39.860134,{},1176.0,-104.96835,2300.0,,2300.0,,2192,False,CO,1511 E 90th Ave,421000.0,84625000,,414000,80229,12984884
